Datum;Eröffnung;Schluss;Tageshoch;Tagestief;Volumen
22.11.2021;142,980;-;147,260;142,480;-
19.11.2021;139,500;142,080;142,080;138,740;17.377
18.11.2021;135,620;138,460;138,540;135,000;5.448
17.11.2021;133,680;136,200;136,820;133,300;7.857
16.11.2021;131,880;133,500;133,720;131,600;11.015
15.11.2021;130,980;131,820;132,640;130,980;12.577
12.11.2021;129,200;130,800;130,820;129,000;4.447
11.11.2021;129,120;129,140;129,840;129,060;7.985
10.11.2021;129,720;129,380;130,220;128,000;18.911
09.11.2021;129,520;130,240;130,540;129,480;17.006
08.11.2021;130,700;130,000;131,260;129,720;5.700
05.11.2021;130,000;130,300;131,660;129,860;7.432
04.11.2021;130,900;130,880;131,600;130,680;6.245
03.11.2021;129,120;130,340;130,340;129,120;7.441
02.11.2021;127,960;129,780;130,840;127,960;11.084
01.11.2021;130,280;127,720;130,280;127,720;5.198
29.10.2021;125,700;129,020;129,560;125,580;11.820
28.10.2021;128,060;130,660;131,080;128,060;6.575
27.10.2021;128,800;128,740;129,000;128,020;11.900
26.10.2021;128,480;129,020;129,360;128,100;6.513
25.10.2021;127,980;128,160;128,500;127,000;5.333
22.10.2021;128,280;128,260;128,880;127,860;6.280
21.10.2021;127,420;127,640;128,400;127,180;5.067
20.10.2021;128,000;127,380;128,520;127,160;7.584
19.10.2021;125,980;127,960;128,040;125,980;7.252
18.10.2021;125,040;125,640;125,660;123,940;3.950
15.10.2021;124,020;124,380;124,500;123,780;6.267
14.10.2021;122,340;123,920;123,920;122,020;4.295
13.10.2021;121,400;121,240;121,920;120,520;4.690
12.10.2021;123,000;123,180;124,200;122,520;6.590
11.10.2021;123,560;124,300;125,000;122,500;4.753
08.10.2021;124,480;123,720;124,500;123,480;7.300
07.10.2021;123,980;124,680;124,680;123,500;5.267
06.10.2021;121,500;121,420;121,580;120,000;17.058
05.10.2021;119,920;122,380;122,460;119,840;6.835
04.10.2021;123,000;119,220;123,000;119,000;7.785
01.10.2021;122,020;122,000;122,520;120,000;9.959
30.09.2021;124,000;122,900;124,220;122,140;4.155
29.09.2021;122,200;123,460;124,160;122,000;7.908
28.09.2021;124,020;121,620;124,020;121,560;6.030
27.09.2021;126,160;123,960;126,160;123,000;4.496
24.09.2021;125,000;125,180;125,180;124,060;5.224
23.09.2021;125,460;125,080;125,880;124,640;3.906
22.09.2021;123,180;123,700;124,000;122,560;4.063
21.09.2021;121,600;122,600;123,680;121,600;11.113
20.09.2021;124,460;121,580;124,460;121,100;17.753
17.09.2021;126,400;124,620;126,780;124,500;5.441
16.09.2021;125,980;125,720;126,620;125,340;5.923
15.09.2021;125,980;125,540;126,120;124,000;8.221
14.09.2021;127,780;125,980;127,780;125,780;13.056
13.09.2021;127,020;126,260;128,160;126,240;24.619
10.09.2021;131,380;127,160;131,380;126,000;13.224
09.09.2021;131,380;130,500;131,880;130,420;5.455
08.09.2021;132,300;130,900;133,000;130,500;8.951
07.09.2021;131,000;132,440;132,600;129,940;6.522
06.09.2021;130,780;130,600;130,780;130,000;11.925
03.09.2021;129,460;129,540;130,000;129,060;7.542
02.09.2021;129,340;129,000;130,520;128,800;9.111
01.09.2021;129,020;129,840;130,720;128,560;7.431
31.08.2021;129,840;129,020;129,980;128,200;8.703
30.08.2021;125,600;130,000;130,000;125,600;11.587
27.08.2021;126,000;125,680;126,180;124,800;2.732
26.08.2021;126,140;126,300;126,720;125,600;3.312
25.08.2021;127,500;125,680;128,080;125,680;7.916
24.08.2021;127,520;127,540;128,360;127,080;6.526
23.08.2021;127,480;127,660;127,780;126,160;9.238
20.08.2021;125,480;126,560;127,080;124,920;3.659
19.08.2021;125,020;126,000;126,640;123,480;10.251
18.08.2021;128,360;126,540;128,560;126,540;6.786
17.08.2021;128,000;127,580;129,120;127,500;9.154
16.08.2021;126,200;127,500;127,500;124,540;5.907
13.08.2021;126,480;126,280;127,100;125,800;7.206
12.08.2021;123,720;126,260;126,540;123,720;10.491
11.08.2021;124,500;124,500;124,740;123,720;3.412
10.08.2021;124,060;124,300;125,900;124,060;11.552
09.08.2021;124,200;124,400;124,560;123,700;3.213
06.08.2021;123,820;124,100;125,000;123,760;4.448
05.08.2021;124,380;124,560;124,900;123,500;6.165
04.08.2021;124,200;124,200;124,700;123,500;10.775
